,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,position,player
0,0,0,0,0,0.0,574,40,0,0,0.0,0.0,2020-10-18T13:00:00Z,0,6,0,0,0,0,5,0,462,1,1,0.0,0,244,301,57,50,False,0,,,,,,4,178
1,0,0,0,0,0.0,574,51,0,0,0.0,0.0,2020-10-26T17:30:00Z,0,18,0,0,0,0,6,0,1525,1,1,0.0,0,538,827,289,50,True,0,,,,,,4,178
2,0,0,0,0,0.0,574,67,0,0,0.0,0.0,2020-11-01T19:15:00Z,0,17,0,0,0,0,7,0,1788,1,2,0.0,0,-48,328,376,50,False,0,,,,,,4,178
3,0,0,0,0,0.0,574,70,0,0,0.0,0.0,2020-11-06T17:30:00Z,0,4,0,0,0,0,8,0,1983,0,0,0.0,0,-19,307,326,50,True,0,,,,,,4,178
4,0,0,0,0,0.0,574,79,0,0,0.0,0.0,2020-11-21T15:00:00Z,0,2,0,0,0,0,9,0,2251,2,1,0.0,0,-40,370,410,50,False,0,,,,,,4,178
5,0,0,0,0,0.0,574,90,0,0,0.0,0.0,2020-11-28T12:30:00Z,0,11,0,0,0,0,10,0,2343,1,1,0.0,0,-50,223,273,50,True,0,,,,,,4,178
6,0,0,0,0,0.0,574,100,0,0,0.0,0.0,2020-12-07T20:00:00Z,0,16,0,0,0,0,11,0,2568,2,1,0.0,0,22,316,294,50,True,0,,,,,,4,178
7,0,0,0,0,0.0,574,114,0,0,0.0,0.0,2020-12-13T19:15:00Z,0,9,0,0,0,0,12,0,2779,0,3,0.0,0,32,338,306,50,False,0,,,,,,4,178
8,0,0,0,0,0.0,574,121,0,0,0.0,0.0,2020-12-16T20:00:00Z,0,8,0,0,0,0,13,0,2932,0,0,0.0,0,47,274,227,50,False,0,,,,,,4,178
9,0,0,3,0,4.3,574,129,0,0,1.8,0.0,2020-12-20T12:00:00Z,18,15,0,0,0,0,14,0,2996,1,1,14.0,1,-51,195,246,50,True,0,,,,,,4,178
10,0,0,0,0,0.0,574,147,0,0,0.0,0.0,2020-12-27T14:15:00Z,0,19,0,0,0,0,15,0,3587,2,2,0.0,0,309,690,381,50,False,0,,,,,,4,178
11,0,0,0,0,0.0,574,149,0,0,0.0,0.0,2020-12-29T18:00:00Z,0,1,0,0,0,0,16,0,3719,1,0,0.0,0,47,299,252,50,True,0,,,,,,4,178
