,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position
0,0,0,0,0,0,0.0,751,0.0,0.0,0.0,0.0,271,0,0,0.0,0.0,2023-03-19T14:00:00Z,0,7,0,0,0,0,28,0,0,0,1,4,0.0,0,0,0,0,40,True,0,2
1,1,0,0,0,0,0.0,751,0.0,0.0,0.0,0.0,281,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,11,0,0,0,0,29,0,158,0,1,4,0.0,0,40,43,3,40,True,0,2
2,2,0,0,0,0,0.0,751,0.0,0.0,0.0,0.0,296,0,0,0.0,0.0,2023-04-09T15:30:00Z,0,12,0,0,0,0,30,0,271,0,2,2,0.0,0,14,39,25,40,False,0,2
3,3,0,0,0,0,0.0,751,0.0,0.0,0.0,0.0,309,0,0,0.0,0.0,2023-04-16T13:00:00Z,0,19,0,0,0,0,31,0,392,0,2,2,0.0,0,12,44,32,40,False,0,2
4,4,0,0,0,0,0.0,751,0.0,0.0,0.0,0.0,311,0,0,0.0,0.0,2023-04-21T19:00:00Z,0,17,0,0,0,0,32,0,462,0,3,3,0.0,0,20,45,25,40,True,0,2
5,5,0,0,0,0,0.0,751,0.0,0.0,0.0,0.0,329,0,0,0.0,0.0,2023-04-26T19:00:00Z,0,13,0,0,0,0,33,0,536,0,1,4,0.0,0,17,45,28,40,False,0,2
6,6,0,0,0,0,0.0,751,0.0,0.0,0.0,0.0,331,0,0,0.0,0.0,2023-05-02T19:00:00Z,0,6,0,0,0,0,34,0,634,0,1,3,0.0,0,13,49,36,40,True,0,2
7,7,0,0,0,0,0.0,751,0.0,0.0,0.0,0.0,346,0,0,0.0,0.0,2023-05-07T15:30:00Z,0,15,0,0,0,0,35,0,766,0,2,0,0.0,0,44,80,36,40,False,0,2
8,8,0,0,0,0,0.0,751,0.0,0.0,0.0,0.0,351,0,0,0.0,0.0,2023-05-14T15:30:00Z,0,5,0,0,0,0,36,0,878,0,3,0,0.0,0,13,68,55,40,True,0,2
9,9,0,0,0,0,0.0,751,0.0,0.0,0.0,0.0,367,0,0,0.0,0.0,2023-05-20T16:30:00Z,0,16,0,0,0,0,37,0,1016,0,0,1,0.0,0,44,81,37,40,False,0,2
10,10,0,0,0,0,0.0,751,0.0,0.0,0.0,0.0,371,0,0,0.0,0.0,2023-05-28T15:30:00Z,0,20,0,0,0,0,38,0,1118,0,0,5,0.0,0,42,75,33,40,True,0,2
11,11,0,0,0,0,0.0,736,0.0,0.0,0.0,0.0,111,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,6,0,0,0,0,12,0,0,0,1,3,0.0,0,0,0,0,40,True,0,2
12,12,0,0,0,0,0.0,736,0.0,0.0,0.0,0.0,121,0,0,0.0,0.0,2023-11-25T17:30:00Z,0,4,0,0,0,0,13,0,742,0,1,0,0.0,0,442,515,73,40,False,0,2
13,13,0,0,0,0,0.0,736,0.0,0.0,0.0,0.0,131,0,0,0.0,0.0,2023-12-02T15:00:00Z,0,20,0,0,0,0,14,0,1050,0,1,2,0.0,0,223,338,115,40,True,0,2
14,14,0,0,0,0,0.0,736,0.0,0.0,0.0,0.0,146,0,0,0.0,0.0,2023-12-05T20:15:00Z,0,12,0,0,0,0,15,0,1268,0,4,3,0.0,0,108,259,151,40,False,0,2
