assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,426,0.0,0.0,376,0.0,0,0,0.0,21593.0,0.0,0.0,2019-05-12T14:00:00Z,12 May 15:00,0.0,0.0,0,0.0,0.0,12,0,0.0,0,0,0.0,0,38,0,24033,0.0,0.0,0.0,0,2,0.0,0,-1260,50,1310,42,False,0.0,0
0,,,,0,3,0,,,0.1,,,407,,,5,,0,0,0.3,,3.0,,2019-08-11T13:00:00Z,,,,9,,,9,0,,0,0,,0,1,0,17166,,,,0,0,0.0,1,0,0,0,45,False,,0
0,,,,0,0,0,,,0.0,,,407,,,20,,0,0,0.0,,0.0,,2019-08-19T19:00:00Z,,,,0,,,12,0,,0,0,,0,2,0,18119,,,,1,1,0.0,0,-1528,643,2171,45,True,,0
0,,,,0,0,0,,,0.0,,,407,,,30,,0,0,0.0,,0.0,,2019-08-25T15:30:00Z,,,,0,,,5,0,,0,0,,0,3,0,17094,,,,1,1,0.0,0,-1781,568,2349,45,True,,0
0,,,,0,12,0,,,0.2,,,407,,,35,,2,1,10.6,,40.0,,2019-09-01T13:00:00Z,,,,58,,,8,0,,0,0,,0,4,0,16624,,,,2,3,66.0,6,-1107,675,1782,44,False,,0
1,,,,0,17,0,,,0.8,,,407,,,50,,5,0,2.8,,10.4,,2019-09-14T14:00:00Z,,,,90,,,6,0,,0,0,,0,5,0,25979,,,,5,2,17.0,2,6766,11360,4594,44,True,,1
0,,,,0,4,0,,,1.0,,,407,,,54,,1,0,1.1,,10.0,,2019-09-22T13:00:00Z,,,,72,,,7,0,,0,0,,1,6,0,33028,,,,1,1,0.0,-1,6316,9105,2789,44,False,,0
0,,,,0,26,1,,,0.4,,,407,,,70,,0,0,2.0,,19.4,,2019-09-28T14:00:00Z,,,,90,,,18,0,,0,0,,0,7,0,31077,,,,0,2,0.0,6,-1966,2378,4344,44,True,,0
0,,,,0,4,0,,,0.0,,,407,,,75,,0,0,0.5,,5.0,,2019-10-06T13:00:00Z,,,,12,,,11,0,,0,0,,0,8,0,33199,,,,2,0,0.0,1,1483,3552,2069,44,False,,0
0,,,,0,0,0,,,0.0,,,407,,,90,,0,0,0.0,,0.0,,2019-10-19T14:00:00Z,,,,0,,,16,0,,0,0,,0,9,0,29551,,,,1,1,0.0,0,-3503,732,4235,44,True,,0
0,,,,1,20,0,,,26.0,,,407,,,96,,1,0,6.5,,37.4,,2019-10-27T14:00:00Z,,,,90,,,13,0,,0,0,,0,10,0,28615,,,,1,1,2.0,2,-1206,751,1957,44,False,,1
0,,,,0,10,0,,,0.4,,,407,,,101,,1,0,1.2,,11.6,,2019-11-02T15:00:00Z,,,,90,,,1,0,,0,0,,0,11,0,30014,,,,1,1,0.0,1,1045,2320,1275,44,False,,1
0,,,,0,7,0,,,0.4,,,407,,,120,,1,0,2.3,,21.0,,2019-11-10T14:00:00Z,,,,90,,,2,0,,0,0,,0,12,0,33699,,,,1,2,2.0,1,3271,4636,1365,44,True,,1
0,,,,0,14,0,,,4.3,,,407,,,123,,1,0,3.7,,25.2,,2019-11-23T15:00:00Z,,,,90,,,3,0,,0,0,,0,13,0,34526,,,,2,1,7.0,1,808,2733,1925,44,False,,1
0,,,,0,0,0,,,0.0,,,407,,,140,,0,0,0.0,,0.0,,2019-12-01T14:00:00Z,,,,0,,,15,0,,0,0,,0,14,0,29836,,,,1,1,0.0,0,-4532,270,4802,44,True,,0
0,,,,0,25,1,,,21.7,,,407,,,146,,0,0,4.6,,14.2,,2019-12-04T19:30:00Z,,,,90,,,19,0,,0,0,,0,15,0,29881,,,,0,2,10.0,6,-286,586,872,44,True,,0
0,,,,0,8,0,,,1.3,,,407,,,153,,2,0,3.4,,13.2,,2019-12-08T16:30:00Z,,,,90,,,4,0,,0,0,,0,16,0,31265,,,,2,2,19.0,1,1071,1895,824,44,False,,0
0,,,,0,6,0,,,10.8,,,407,,,170,,2,0,6.7,,19.2,,2019-12-15T14:00:00Z,,,,90,,,17,0,,0,0,,0,17,0,31205,,,,2,1,37.0,0,-129,1328,1457,44,True,,1
0,,,,0,22,0,,,1.3,,,407,,,177,,1,1,8.3,,48.6,,2019-12-21T15:00:00Z,,,,90,,,14,0,,0,0,,0,18,0,32376,,,,2,1,33.0,7,731,1857,1126,44,False,,1
0,,,,0,8,0,,,14.8,,,407,,,190,,2,0,3.2,,9.2,,2019-12-27T19:45:00Z,,,,90,,,11,0,,0,0,,0,19,0,34516,,,,2,3,8.0,1,1902,3319,1417,44,True,,0
0,,,,0,3,0,,,11.2,,,407,,,194,,0,0,1.9,,2.4,,2019-12-29T16:30:00Z,,,,32,,,10,0,,0,0,,0,20,0,35281,,,,0,1,5.0,1,667,1934,1267,44,False,,0
0,,,,0,22,0,,,3.2,,,407,,,209,,2,0,2.5,,22.2,,2020-01-01T15:00:00Z,,,,90,,,18,0,,0,0,,0,21,0,55311,,,,1,2,0.0,1,19089,22945,3856,44,False,,0
0,,,,0,12,0,,,1.3,,,407,,,220,,1,0,2.5,,23.6,,2020-01-11T15:00:00Z,,,,90,,,13,0,,0,0,,0,22,0,65472,,,,1,1,0.0,2,9729,15643,5914,44,True,,0
0,,,,0,10,0,,,0.3,,,407,,,228,,2,0,1.4,,13.8,,2020-01-18T15:00:00Z,,,,90,,,16,0,,0,0,,0,23,0,60751,,,,3,2,0.0,1,-4776,2869,7645,44,False,,0
0,,,,0,16,0,,,20.6,,,407,,,237,,2,0,5.1,,30.0,,2020-01-23T20:00:00Z,,,,90,,,10,0,,0,0,,0,24,0,52842,,,,2,1,0.0,1,-7123,1142,8265,44,True,,0
0,,,,0,22,1,,,0.1,,,407,,,246,,0,0,6.2,,18.0,,2020-02-01T17:30:00Z,,,,90,,,12,0,,0,0,,0,25,0,51197,,,,0,0,44.0,6,-2824,1836,4660,44,False,,0
0,,,,0,23,1,,,0.9,,,407,,,260,,0,0,2.3,,9.8,,2020-02-14T20:00:00Z,,,,90,,,9,0,,0,0,,0,26,0,54323,,,,0,0,12.0,6,2827,5277,2450,44,True,,0
1,,,,2,37,1,,,10.3,,,407,,,270,,0,0,4.6,,31.6,,2020-02-23T14:00:00Z,,,,90,,,14,0,,0,0,,0,27,0,89615,,,,0,3,4.0,11,34463,37497,3034,44,True,,0
0,,,,0,13,0,,,0.3,,,407,,,278,,2,0,4.1,,32.2,,2020-03-01T14:00:00Z,,,,90,,,17,0,,0,0,,0,28,0,192733,,,,3,2,8.0,1,91387,96416,5029,45,False,,0
0,,,,3,30,1,,,0.4,,,407,,,290,,0,0,1.4,,13.8,,2020-03-07T15:00:00Z,,,,90,,,4,0,,0,0,,0,29,0,245666,,,,0,0,0.0,8,58252,71697,13445,45,True,,1
0,,,,1,29,1,,,0.9,,,407,,,300,,0,0,3.3,,23.2,,2020-06-20T16:30:00Z,,,,90,,,19,0,,0,0,,0,39,0,291833,,,,2,0,9.0,7,20708,118739,98031,46,False,,0
0,,,,1,27,1,,,10.5,,,407,,,310,,0,0,3.7,,26.0,,2020-06-24T17:00:00Z,,,,90,,,3,0,,0,0,,0,40,0,343704,,,,0,1,0.0,6,44487,72795,28308,46,True,,1
0,,,,0,22,1,,,0.9,,,407,,,312,,0,0,0.8,,7.0,,2020-06-27T11:30:00Z,,,,90,,,2,0,,0,0,,0,41,0,371685,,,,1,0,0.0,6,29568,37670,8102,46,False,,0
0,,,,0,8,0,,,1.8,,,407,,,330,,2,0,2.1,,11.6,,2020-07-04T16:30:00Z,,,,90,,,1,0,,0,0,,0,42,0,401944,,,,2,0,8.0,0,34650,46918,12268,47,True,,1
0,,,,0,11,0,,,0.9,,,407,,,338,,1,0,2.1,,20.2,,2020-07-08T17:00:00Z,,,,90,,,15,0,,0,0,,0,43,0,422538,,,,0,1,0.0,2,16634,28181,11547,47,False,,0
0,,,,0,27,1,,,12.3,,,407,,,350,,0,0,3.2,,20.0,,2020-07-12T11:00:00Z,,,,90,,,8,0,,0,0,,0,44,0,436495,,,,0,3,0.0,6,12437,24223,11786,47,True,,0
0,,,,0,12,0,,,1.0,,,407,,,352,,1,0,2.7,,19.2,,2020-07-15T17:00:00Z,,,,90,,,5,0,,0,0,,0,45,0,445452,,,,1,1,7.0,2,22356,31083,8727,47,False,,0
0,,,,0,0,0,,,0.0,,,407,,,370,,0,0,0.0,,0.0,,2020-07-20T19:15:00Z,,,,0,,,7,0,,0,0,,0,46,0,476592,,,,0,2,0.0,0,16015,25220,9205,47,True,,0
0,,,,0,15,0,,,0.3,,,407,,,373,,2,0,1.0,,9.2,,2020-07-26T15:00:00Z,,,,90,,,6,0,,0,0,,0,47,0,358738,,,,0,2,0.0,1,-59426,3155,62581,47,False,,0
0,,,,3,34,1,,,0.2,,,461,,,8,,0,1,10.2,,63.4,,2020-09-14T17:00:00Z,,,,90,,,15,0,,0,0,,0,1,0,177607,,,,2,0,38.0,15,0,0,0,50,False,,0
0,,,,0,11,0,,,0.4,,,461,,,18,,3,0,1.4,,11.2,,2020-09-21T19:15:00Z,,,,90,,,12,0,,0,0,,0,2,0,385987,,,,3,1,2.0,1,117769,163098,45329,50,True,,0
0,,,,0,15,0,,,1.7,,,461,,,28,,4,0,1.4,,12.0,,2020-09-27T18:00:00Z,,,,90,,,19,0,,0,0,,0,3,0,816549,,,,0,4,0.0,0,347814,439854,92040,51,False,,0
0,,,,2,26,1,,,6.7,,,461,,,38,,0,0,3.9,,14.2,,2020-10-04T13:00:00Z,,,,90,,,8,0,,0,0,,0,4,0,840002,,,,0,1,18.0,8,29271,106684,77413,51,True,,0
0,,,,1,26,1,,,10.5,,,461,,,42,,0,0,2.7,,14.0,,2020-10-19T19:00:00Z,,,,90,,,10,0,,0,0,,0,5,0,1087824,,,,1,0,2.0,7,199732,275090,75358,51,False,,0
0,,,,1,23,1,,,5.3,,,461,,,58,,0,0,1.4,,8.6,,2020-10-25T16:30:00Z,,,,67,,,14,0,,0,0,,0,6,0,1342548,,,,1,1,0.0,7,237092,270891,33799,52,True,,0
0,,,,0,0,0,,,0.0,,,461,,,68,,0,0,0.0,,0.0,,2020-10-30T20:00:00Z,,,,0,,,6,0,,0,0,,0,7,0,1661633,,,,0,2,0.0,0,302811,326735,23924,53,True,,0
0,,,,0,0,0,,,0.0,,,461,,,74,,0,0,0.0,,0.0,,2020-11-08T14:00:00Z,,,,0,,,9,0,,0,0,,0,8,0,1494986,,,,0,1,0.0,0,-152088,80653,232741,53,False,,0
0,,,,0,0,0,,,0.0,,,461,,,88,,0,0,0.0,,0.0,,2020-11-23T20:00:00Z,,,,0,,,16,0,,0,0,,0,9,0,1241579,,,,1,1,0.0,0,-252007,31746,283753,52,True,,0
0,,,,0,0,0,,,0.0,,,461,,,89,,0,0,0.0,,0.0,,2020-11-29T19:15:00Z,,,,0,,,1,0,,0,0,,0,10,0,881204,,,,2,1,0.0,0,-366551,3564,370115,51,False,,0
0,,,,0,0,0,,,0.0,,,461,,,103,,0,0,0.0,,0.0,,2020-12-06T19:15:00Z,,,,0,,,11,0,,0,0,,0,11,0,662150,,,,0,4,0.0,0,-222215,1622,223837,51,False,,0
0,,,,0,14,0,,,0.2,,,461,,,118,,1,0,4.1,,24.0,,2020-12-12T12:30:00Z,,,,90,,,2,0,,0,0,,0,12,0,607219,,,,1,0,17.0,2,-72819,3933,76752,51,True,,0
0,,,,0,13,0,,,2.1,,,461,,,126,,1,0,2.5,,17.0,,2020-12-15T18:00:00Z,,,,90,,,5,0,,0,0,,0,13,0,577790,,,,1,2,6.0,2,-31262,3792,35054,51,True,,0
0,,,,0,7,0,,,1.5,,,461,,,130,,2,0,2.1,,3.2,,2020-12-21T17:30:00Z,,,,90,,,4,0,,0,0,,0,14,0,578637,,,,1,2,16.0,1,-2565,20226,22791,51,False,,0
0,,,,2,25,0,,,0.8,,,461,,,148,,1,1,11.5,,56.2,,2020-12-27T19:15:00Z,,,,90,,,17,0,,0,0,,0,15,0,531685,,,,1,1,58.0,10,-44836,4706,49542,51,True,,0
0,,,,0,12,0,,,0.2,,,461,,,154,,1,0,4.4,,22.8,,2020-12-29T20:00:00Z,,,,90,,,13,0,,0,0,,0,16,0,542456,,,,0,1,21.0,2,7547,20889,13342,50,False,,0
0,,,,0,26,0,,,0.3,,,461,,,159,,3,1,7.6,,57.0,,2021-01-02T17:30:00Z,,,,90,,,3,0,,0,0,,0,17,0,692815,,,,3,3,19.0,7,142758,161057,18299,50,False,,0
0,,,,0,16,0,,,1.5,,,461,,,176,,2,0,2.4,,20.2,,2021-01-12T20:15:00Z,,,,90,,,7,0,,0,0,,0,18,0,1154483,,,,2,1,2.0,1,164137,214633,50496,51,True,,0
0,,,,0,11,0,,,6.7,,,461,,,188,,3,0,2.8,,13.6,,2021-01-16T12:30:00Z,,,,90,,,18,0,,0,0,,0,19,0,762844,,,,3,2,8.0,1,-61511,27298,88809,51,True,,0
