assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,518,0.0,0.0,320,0.0,0,0,0.0,17903.0,0.0,0.0,2019-03-30T17:30:00Z,30 Mar 17:30,0.0,0.0,0,0.0,0.0,8,0,0.0,0,0,0.0,0,32,0,8982,0.0,0.0,0.0,2,0,0.0,0,-45,22,67,43,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,518,0.0,0.0,322,0.0,0,0,0.0,18349.0,0.0,0.0,2019-04-08T19:00:00Z,08 Apr 20:00,0.0,0.0,0,0.0,0.0,6,0,0.0,0,0,0.0,0,33,0,9072,0.0,0.0,0.0,0,2,0.0,0,97,136,39,43,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,518,0.0,0.0,337,0.0,0,0,0.0,18976.0,0.0,0.0,2019-04-13T16:30:00Z,13 Apr 17:30,0.0,0.0,0,0.0,0.0,14,0,0.0,0,0,0.0,0,34,0,8945,0.0,0.0,0.0,1,2,0.0,0,-131,17,148,43,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,518,0.0,0.0,349,0.0,0,0,0.0,19797.0,0.0,0.0,2019-04-20T14:00:00Z,20 Apr 15:00,0.0,0.0,0,0.0,0.0,11,0,0.0,0,0,0.0,0,35,0,8917,0.0,0.0,0.0,2,2,0.0,0,-27,17,44,43,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,518,0.0,0.0,359,0.0,0,0,0.0,20454.0,0.0,0.0,2019-04-27T11:30:00Z,27 Apr 12:30,0.0,0.0,0,0.0,0.0,17,0,0.0,0,0,0.0,0,36,0,8893,0.0,0.0,0.0,1,0,0.0,0,-24,15,39,43,False,0.0,0
0,9.0,0.0,0.0,0,4,0,1.0,8.0,0.4,1.0,0.0,518,0.0,0.0,369,0.0,0,0,0.4,21069.0,3.6,0.0,2019-05-04T14:00:00Z,04 May 15:00,0.0,0.0,12,0.0,0.0,16,0,0.0,0,0,1.0,0,37,0,8890,0.0,0.0,0.0,0,3,0.0,1,-10,23,33,43,True,0.0,0
0,21.0,0.0,0.0,0,3,0,2.0,19.0,0.7,0.0,0.0,518,0.0,1.0,380,0.0,0,0,0.2,21685.0,0.8,0.0,2019-05-12T14:00:00Z,12 May 15:00,0.0,0.0,11,0.0,0.0,18,0,0.0,0,0,1.0,0,38,0,8900,0.0,0.0,0.0,4,1,0.0,1,1,43,42,43,False,0.0,0
0,,,,0,0,0,,,0.0,,,397,,,8,,0,0,0.0,,0.0,,2019-08-10T11:30:00Z,,,,0,,,11,0,,0,0,,0,1,0,20626,,,,5,0,0.0,0,0,0,0,45,True,,0
0,,,,0,3,0,,,0.1,,,397,,,13,,0,0,0.0,,0.0,,2019-08-17T14:00:00Z,,,,7,,,4,0,,0,0,,0,2,0,27218,,,,1,1,0.0,1,786,4219,3433,45,False,,0
0,,,,0,3,0,,,0.0,,,397,,,29,,0,0,0.0,,0.4,,2019-08-24T14:00:00Z,,,,2,,,18,0,,0,0,,0,3,0,27486,,,,3,1,0.0,1,-902,2674,3576,45,False,,0
0,,,,0,3,0,,,1.3,,,397,,,40,,0,0,0.2,,0.8,,2019-08-31T14:00:00Z,,,,5,,,14,0,,0,0,,0,4,0,26975,,,,0,2,0.0,1,-1244,1612,2856,45,True,,0
0,,,,0,0,0,,,0.0,,,397,,,41,,0,0,0.0,,0.0,,2019-09-16T19:00:00Z,,,,0,,,2,0,,0,0,,0,5,0,26553,,,,0,0,0.0,0,-982,1513,2495,45,False,,0
0,,,,0,0,0,,,0.0,,,397,,,60,,0,0,0.0,,0.0,,2019-09-22T13:00:00Z,,,,0,,,12,0,,0,0,,0,6,0,25762,,,,0,2,0.0,0,-954,529,1483,45,True,,0
0,,,,0,0,0,,,0.0,,,397,,,62,,0,0,0.0,,0.0,,2019-09-28T14:00:00Z,,,,0,,,3,0,,0,0,,0,7,0,24717,,,,2,2,0.0,0,-1216,500,1716,45,False,,0
0,,,,0,0,0,,,0.0,,,397,,,80,,0,0,0.0,,0.0,,2019-10-05T16:30:00Z,,,,0,,,7,0,,0,0,,0,8,0,23829,,,,2,1,0.0,0,-1015,343,1358,45,True,,0
0,,,,0,0,0,,,0.0,,,397,,,85,,0,0,0.0,,0.0,,2019-10-19T11:30:00Z,,,,0,,,8,0,,0,0,,0,9,0,24869,,,,0,2,0.0,0,405,1811,1406,44,False,,0
0,,,,0,0,0,,,0.0,,,397,,,100,,0,0,0.0,,0.0,,2019-10-26T14:00:00Z,,,,0,,,15,0,,0,0,,0,10,0,24516,,,,1,1,0.0,0,-358,642,1000,44,True,,0
0,,,,0,0,0,,,0.0,,,397,,,110,,0,0,0.0,,0.0,,2019-11-02T15:00:00Z,,,,0,,,13,0,,0,0,,0,11,0,24434,,,,3,2,0.0,0,-331,960,1291,44,True,,0
0,,,,0,0,0,,,0.0,,,397,,,111,,0,0,0.0,,0.0,,2019-11-09T15:00:00Z,,,,0,,,5,0,,0,0,,0,12,0,24341,,,,0,3,0.0,0,-254,715,969,44,False,,0
0,,,,0,2,0,,,0.5,,,397,,,130,,0,0,0.0,,0.0,,2019-11-23T12:30:00Z,,,,26,,,17,0,,0,0,,0,13,0,24169,,,,3,2,0.0,1,-351,822,1173,44,True,,0
0,,,,0,0,0,,,0.0,,,397,,,132,,0,0,0.0,,0.0,,2019-11-30T15:00:00Z,,,,0,,,6,0,,0,0,,0,14,0,24077,,,,1,0,0.0,0,-203,575,778,44,False,,0
0,,,,0,0,0,,,0.0,,,397,,,146,,0,0,0.0,,0.0,,2019-12-04T19:30:00Z,,,,0,,,20,0,,0,0,,0,15,0,23790,,,,0,2,0.0,0,-294,309,603,44,False,,0
0,,,,0,0,0,,,0.0,,,397,,,160,,0,0,0.0,,0.0,,2019-12-09T20:00:00Z,,,,0,,,1,0,,0,0,,0,16,0,23403,,,,3,1,0.0,0,-430,239,669,44,True,,0
0,,,,0,2,0,,,0.0,,,397,,,169,,0,0,0.2,,1.8,,2019-12-14T17:30:00Z,,,,11,,,16,0,,0,0,,0,17,0,23015,,,,1,0,0.0,1,-431,285,716,44,False,,0
0,,,,0,0,0,,,0.0,,,397,,,184,,0,0,0.0,,0.0,,2019-12-26T15:00:00Z,,,,0,,,7,0,,0,0,,0,19,0,22399,,,,1,2,0.0,0,-322,129,451,44,False,,0
0,,,,0,7,0,,,1.8,,,397,,,200,,2,0,0.7,,5.4,,2019-12-28T17:30:00Z,,,,61,,,9,0,,0,0,,0,20,0,23473,,,,2,1,0.0,2,761,1182,421,43,True,,0
0,,,,0,0,0,,,0.0,,,397,,,210,,0,0,0.0,,0.0,,2020-01-01T17:30:00Z,,,,0,,,3,0,,0,0,,0,21,0,29558,,,,0,4,0.0,0,5363,7684,2321,43,True,,0
0,,,,0,0,0,,,0.0,,,397,,,218,,0,0,0.0,,0.0,,2020-01-10T20:00:00Z,,,,0,,,15,0,,0,0,,0,22,0,30941,,,,0,1,0.0,0,1143,3996,2853,43,False,,0
0,,,,0,0,0,,,0.0,,,397,,,230,,0,0,0.0,,0.0,,2020-01-18T15:00:00Z,,,,0,,,8,0,,0,0,,0,23,0,32972,,,,1,1,0.0,0,1563,3938,2375,43,True,,0
0,,,,0,0,0,,,0.0,,,397,,,234,,0,0,0.0,,0.0,,2020-01-22T19:30:00Z,,,,0,,,9,0,,0,0,,0,24,0,34688,,,,1,4,0.0,0,861,2952,2091,43,False,,0
0,,,,0,0,0,,,0.0,,,397,,,180,,0,0,0.0,,0.0,,2020-01-29T19:45:00Z,,,,0,,,10,0,,0,0,,0,24,0,34688,,,,2,0,0.0,0,861,2952,2091,43,True,,0
0,,,,0,0,0,,,0.0,,,397,,,250,,0,0,0.0,,0.0,,2020-02-01T15:00:00Z,,,,0,,,4,0,,0,0,,0,25,0,34375,,,,3,3,0.0,0,191,2598,2407,43,True,,0
0,,,,0,0,0,,,0.0,,,397,,,256,,0,0,0.0,,0.0,,2020-02-19T19:30:00Z,,,,0,,,11,0,,0,0,,0,26,0,35128,,,,0,2,0.0,0,559,2112,1553,43,False,,0
0,,,,0,0,0,,,0.0,,,397,,,266,,0,0,0.0,,0.0,,2020-02-24T20:00:00Z,,,,0,,,10,0,,0,0,,0,27,0,35625,,,,2,3,0.0,0,407,2010,1603,43,False,,0
0,,,,0,0,0,,,0.0,,,397,,,280,,0,0,0.0,,0.0,,2020-02-29T15:00:00Z,,,,0,,,16,0,,0,0,,0,28,0,37344,,,,1,3,0.0,0,333,1951,1618,43,True,,0
0,,,,0,0,0,,,0.0,,,397,,,281,,0,0,0.0,,0.0,,2020-03-07T15:00:00Z,,,,0,,,1,0,,0,0,,0,29,0,37088,,,,0,1,0.0,0,322,1834,1512,43,False,,0
0,,,,0,0,0,,,0.0,,,397,,,300,,0,0,0.0,,0.0,,2020-06-20T16:30:00Z,,,,0,,,20,0,,0,0,,0,39,0,35002,,,,2,0,0.0,0,-1373,1614,2987,43,True,,0
0,,,,0,0,0,,,0.0,,,397,,,309,,0,0,0.0,,0.0,,2020-06-23T19:15:00Z,,,,0,,,17,0,,0,0,,0,40,0,34612,,,,0,2,0.0,0,-428,317,745,43,False,,0
0,,,,0,0,0,,,0.0,,,397,,,320,,0,0,0.0,,0.0,,2020-07-01T19:15:00Z,,,,0,,,6,0,,0,0,,0,41,0,33843,,,,2,3,0.0,0,-773,147,920,43,True,,0
0,,,,0,0,0,,,0.0,,,397,,,326,,0,0,0.0,,0.0,,2020-07-05T13:15:00Z,,,,0,,,13,0,,0,0,,0,42,0,32757,,,,2,2,0.0,0,-1083,115,1198,43,False,,0
0,,,,0,0,0,,,0.0,,,397,,,340,,0,0,0.0,,0.0,,2020-07-08T17:00:00Z,,,,0,,,5,0,,0,0,,0,43,0,32075,,,,1,0,0.0,0,-709,8,717,43,True,,0
0,,,,0,0,0,,,0.0,,,397,,,346,,0,0,0.0,,0.0,,2020-07-11T11:30:00Z,,,,0,,,14,0,,0,0,,0,44,0,31453,,,,4,0,0.0,0,-619,22,641,43,False,,0
0,,,,0,0,0,,,0.0,,,397,,,360,,0,0,0.0,,0.0,,2020-07-17T19:00:00Z,,,,0,,,18,0,,0,0,,0,45,0,31008,,,,1,3,0.0,0,-437,5,442,43,True,,0
0,,,,0,0,0,,,0.0,,,397,,,365,,0,0,0.0,,0.0,,2020-07-22T17:00:00Z,,,,0,,,12,0,,0,0,,0,46,0,30780,,,,1,1,0.0,0,-255,18,273,43,False,,0
0,,,,0,0,0,,,0.0,,,397,,,380,,0,0,0.0,,0.0,,2020-07-26T15:00:00Z,,,,0,,,2,0,,0,0,,0,47,0,30328,,,,1,1,0.0,0,-422,23,445,43,True,,0
